Data;Total
27/07/2020;257
28/07/2020;287
29/07/2020;267
30/07/2020;444
31/07/2020;340
03/08/2020;326
04/08/2020;302
05/08/2020;363
06/08/2020;318
07/08/2020;326
08/08/2020;2
10/08/2020;325
11/08/2020;334
12/08/2020;401
13/08/2020;575
14/08/2020;567
17/08/2020;515
18/08/2020;389
19/08/2020;517
20/08/2020;526
21/08/2020;400
24/08/2020;626
25/08/2020;430
26/08/2020;401
27/08/2020;466
28/08/2020;528
30/08/2020;86
31/08/2020;564
01/09/2020;599
02/09/2020;353
03/09/2020;511
04/09/2020;524
07/09/2020;205
08/09/2020;381
09/09/2020;660
10/09/2020;743
11/09/2020;951
13/09/2020;122
14/09/2020;852
15/09/2020;893
16/09/2020;927
17/09/2020;888
18/09/2020;1310
21/09/2020;732
22/09/2020;1183
23/09/2020;762
24/09/2020;1067
25/09/2020;1006
28/09/2020;876
29/09/2020;1115
30/09/2020;973
01/10/2020;808
02/10/2020;915
04/10/2020;76
05/10/2020;639
06/10/2020;728
07/10/2020;511
08/10/2020;449
09/10/2020;672
11/10/2020;121
12/10/2020;11
13/10/2020;374
14/10/2020;556
15/10/2020;440
16/10/2020;451
18/10/2020;263
19/10/2020;399
20/10/2020;511
21/10/2020;628
22/10/2020;554
23/10/2020;459
25/10/2020;74
26/10/2020;342
27/10/2020;624
28/10/2020;501
29/10/2020;679
30/10/2020;169
03/11/2020;722
04/11/2020;571
05/11/2020;590
06/11/2020;561
09/11/2020;484
10/11/2020;423
11/11/2020;443
12/11/2020;641
13/11/2020;542
16/11/2020;1272
17/11/2020;921
18/11/2020;450
19/11/2020;539
20/11/2020;625
23/11/2020;636
24/11/2020;912
25/11/2020;399
26/11/2020;896
27/11/2020;699
30/11/2020;567
01/12/2020;761
02/12/2020;530
03/12/2020;555
04/12/2020;536
07/12/2020;550
08/12/2020;516
09/12/2020;719
10/12/2020;547
11/12/2020;939
14/12/2020;551
15/12/2020;683
16/12/2020;806
17/12/2020;1101
